# Time (s),Altitude (ft),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
366.668,2388.151,-20.395
367.168,2354.703,-20.385
367.668,2321.272,-20.375
368.168,2287.857,-20.365
368.668,2254.459,-20.354
369.168,2221.077,-20.344
369.668,2187.712,-20.334
370.168,2154.364,-20.324
370.668,2121.032,-20.314
371.168,2087.717,-20.304
371.668,2054.417,-20.294
372.168,2021.135,-20.284
372.668,1987.868,-20.274
373.168,1954.618,-20.264
373.668,1921.384,-20.254
374.168,1888.168,-20.244
374.668,1854.968,-20.233
375.168,1821.785,-20.223
375.668,1788.62,-20.213
376.168,1755.471,-20.202
376.668,1722.34,-20.192
377.168,1689.225,-20.182
377.668,1656.127,-20.171
378.168,1623.046,-20.161
378.668,1589.982,-20.151
379.168,1556.935,-20.141
379.668,1523.905,-20.13
380.168,1490.891,-20.12
380.668,1457.894,-20.11
381.168,1424.913,-20.1
381.668,1391.949,-20.09
382.168,1359.002,-20.08
382.668,1326.071,-20.07
383.168,1293.156,-20.06
# Event SIM_WARN occurred at t=383.169 seconds: Recovery device deployment at high speed (20.1 m/s):  "Parachute"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=383.169 seconds
383.169,1293.09,-20.06
383.185,1292.092,-19.06
383.202,1291.024,-18.06
383.222,1289.877,-17.06
383.245,1288.636,-16.06
383.271,1287.281,-15.06
383.303,1285.786,-14.06
383.34,1284.113,-13.06
383.387,1282.205,-12.06
383.445,1279.972,-11.06
383.524,1277.25,-10.06
383.637,1273.702,-9.06
383.825,1268.426,-8.06
384.162,1259.922,-7.328
384.532,1251.039,-7.29
384.905,1242.135,-7.289
385.277,1233.234,-7.288
385.649,1224.336,-7.287
386.021,1215.44,-7.286
386.393,1206.546,-7.285
386.765,1197.654,-7.284
387.137,1188.765,-7.283
387.509,1179.879,-7.282
387.881,1170.994,-7.281
388.253,1162.112,-7.28
388.625,1153.233,-7.279
388.996,1144.356,-7.278
389.368,1135.481,-7.277
389.74,1126.608,-7.276
390.111,1117.738,-7.275
390.483,1108.87,-7.274
390.854,1100.005,-7.273
391.226,1091.142,-7.273
391.597,1082.281,-7.272
391.969,1073.423,-7.271
392.34,1064.567,-7.27
392.711,1055.713,-7.269
393.082,1046.862,-7.268
393.453,1038.013,-7.267
393.825,1029.167,-7.266
394.196,1020.322,-7.265
394.567,1011.481,-7.264
394.937,1002.641,-7.263
395.308,993.804,-7.262
395.679,984.969,-7.261
396.05,976.136,-7.26
396.421,967.306,-7.259
396.791,958.478,-7.258
397.162,949.652,-7.257
397.533,940.829,-7.256
397.903,932.008,-7.255
398.274,923.19,-7.254
398.644,914.373,-7.253
399.015,905.559,-7.252
399.385,896.747,-7.251
399.755,887.938,-7.251
400.126,879.131,-7.25
400.496,870.326,-7.249
400.866,861.524,-7.248
401.236,852.723,-7.247
401.606,843.926,-7.246
401.976,835.13,-7.245
402.346,826.337,-7.244
402.716,817.546,-7.243
403.086,808.757,-7.242
403.456,799.97,-7.241
403.825,791.186,-7.24
404.195,782.404,-7.239
404.565,773.625,-7.238
404.935,764.848,-7.237
405.304,756.072,-7.236
405.674,747.3,-7.235
406.043,738.529,-7.235
406.413,729.761,-7.234
406.782,720.995,-7.233
407.151,712.231,-7.232
407.521,703.47,-7.231
407.89,694.711,-7.23
408.259,685.954,-7.229
408.628,677.199,-7.228
408.997,668.447,-7.227
409.366,659.697,-7.226
409.735,650.949,-7.225
410.104,642.203,-7.224
410.473,633.46,-7.223
410.842,624.719,-7.222
411.211,615.98,-7.222
411.58,607.243,-7.221
411.948,598.509,-7.22
412.317,589.777,-7.219
412.686,581.047,-7.218
413.054,572.319,-7.217
413.423,563.593,-7.216
413.791,554.87,-7.215
414.16,546.149,-7.214
414.528,537.43,-7.213
414.896,528.714,-7.212
415.265,520,-7.211
415.633,511.287,-7.211
416.001,502.578,-7.21
416.369,493.87,-7.209
416.738,485.164,-7.208
417.106,476.461,-7.207
417.474,467.76,-7.206
417.842,459.061,-7.205
418.209,450.365,-7.204
418.577,441.67,-7.203
418.945,432.978,-7.202
419.313,424.288,-7.201
419.681,415.6,-7.2
420.048,406.915,-7.2
420.416,398.231,-7.199
420.784,389.55,-7.198
421.151,380.871,-7.197
421.519,372.194,-7.196
421.886,363.519,-7.195
422.254,354.847,-7.194
422.621,346.177,-7.193
422.988,337.509,-7.192
423.356,328.843,-7.191
423.723,320.18,-7.19
424.09,311.519,-7.189
424.457,302.86,-7.188
424.824,294.204,-7.187
425.191,285.55,-7.187
425.558,276.899,-7.186
425.925,268.249,-7.185
426.292,259.602,-7.184
426.659,250.957,-7.183
427.025,242.315,-7.182
427.392,233.675,-7.181
427.759,225.037,-7.18
428.125,216.401,-7.179
428.492,207.768,-7.178
428.859,199.137,-7.177
429.225,190.508,-7.176
429.591,181.881,-7.175
429.958,173.257,-7.174
430.324,164.635,-7.173
430.69,156.015,-7.172
431.057,147.398,-7.171
431.423,138.783,-7.17
431.789,130.17,-7.169
432.155,121.559,-7.169
432.521,112.951,-7.168
432.887,104.345,-7.167
433.253,95.741,-7.166
433.619,87.14,-7.165
433.985,78.54,-7.164
434.351,69.943,-7.163
434.716,61.349,-7.162
435.082,52.756,-7.161
435.448,44.166,-7.16
435.813,35.578,-7.159
436.179,26.992,-7.158
436.544,18.408,-7.157
436.91,9.827,-7.156
# Event GROUND_HIT occurred at t=437.329 seconds
# Event SIMULATION_END occurred at t=437.329 seconds
437.329,0,-7.155
